"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\Demoes\react-cloud-music\src\application\Singer\store\reducer.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 2, 21
"d:\Demoes\react-cloud-music\src\application\Singer\style.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 5, 101
"d:\Demoes\react-cloud-music\src\application\Singers\data.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 4, 30
"d:\Demoes\react-cloud-music\src\application\Singers\index.js", "JavaScript", 0, 0, 148, 0, 0, 0, 9, 17, 174
"d:\Demoes\react-cloud-music\src\application\Singers\store\actionCreators.js", "JavaScript", 0, 0, 84, 0, 0, 0, 9, 9, 102
"d:\Demoes\react-cloud-music\src\application\Singers\store\constants.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Demoes\react-cloud-music\src\application\Singers\store\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Demoes\react-cloud-music\src\application\Singers\store\reducer.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 2, 27
"d:\Demoes\react-cloud-music\src\application\Singers\style.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 4, 57
"d:\Demoes\react-cloud-music\src\application\SongsList\index.js", "JavaScript", 0, 0, 71, 0, 0, 0, 2, 10, 83
"d:\Demoes\react-cloud-music\src\application\SongsList\style.js", "JavaScript", 0, 0, 94, 0, 0, 0, 0, 2, 96
"d:\Demoes\react-cloud-music\src\assets\global-style.js", "JavaScript", 0, 0, 35, 0, 0, 0, 3, 4, 42
"d:\Demoes\react-cloud-music\src\assets\iconfont\demo.css", "CSS", 0, 0, 0, 0, 435, 0, 19, 86, 540
"d:\Demoes\react-cloud-music\src\assets\iconfont\demo_index.html", "HTML", 0, 0, 0, 876, 0, 0, 2, 121, 999
"d:\Demoes\react-cloud-music\src\assets\iconfont\iconfont.css", "CSS", 0, 0, 0, 0, 123, 0, 0, 39, 162
"d:\Demoes\react-cloud-music\src\assets\iconfont\iconfont.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\Demoes\react-cloud-music\src\assets\iconfont\iconfont.svg", "XML", 0, 0, 0, 0, 0, 55, 3, 77, 135
"d:\Demoes\react-cloud-music\src\baseUI\confirm\index.js", "JavaScript", 0, 0, 99, 0, 0, 0, 1, 7, 107
"d:\Demoes\react-cloud-music\src\baseUI\header\index.js", "JavaScript", 0, 0, 47, 0, 0, 0, 2, 4, 53
"d:\Demoes\react-cloud-music\src\baseUI\horizen-item\index.js", "JavaScript", 0, 0, 78, 0, 0, 0, 2, 8, 88
"d:\Demoes\react-cloud-music\src\baseUI\loading-v2\index.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 4, 56
"d:\Demoes\react-cloud-music\src\baseUI\loading\index.js", "JavaScript", 0, 0, 48, 0, 0, 0, 1, 4, 53
"d:\Demoes\react-cloud-music\src\baseUI\music-note\index.js", "JavaScript", 0, 0, 75, 0, 0, 0, 3, 14, 92
"d:\Demoes\react-cloud-music\src\baseUI\progress-bar\index.js", "JavaScript", 0, 0, 104, 0, 0, 0, 3, 15, 122
"d:\Demoes\react-cloud-music\src\baseUI\progress-circle\index.js", "JavaScript", 0, 0, 35, 0, 0, 0, 2, 4, 41
"d:\Demoes\react-cloud-music\src\baseUI\scroll\index.js", "JavaScript", 0, 0, 120, 0, 0, 0, 11, 23, 154
"d:\Demoes\react-cloud-music\src\baseUI\scroll\style.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 3, 26
